PlayerVelocity,CurrentMood, Jumping, Sprinting, Health,Velocity,IsJumping,IsSprinting,Health,Mood
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
643.78,EAudioMood::Action,1.0,0.0,80.0,,,,,
605.07,EAudioMood::Action,1.0,0.0,80.0,,,,,
603.18,EAudioMood::Action,1.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
907.2,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1258.83,EAudioMood::Tense,1.0,1.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.02,EAudioMood::Calm,1.0,0.0,80.0,,,,,
678.47,EAudioMood::Calm,1.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
1159.57,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1060.17,EAudioMood::Tense,1.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
652.59,EAudioMood::Action,1.0,0.0,60.0,,,,,
589.89,EAudioMood::Action,1.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
723.81,EAudioMood::Action,1.0,0.0,60.0,,,,,
614.82,EAudioMood::Action,1.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1183.27,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1212.86,EAudioMood::Tense,1.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
663.11,EAudioMood::Calm,1.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
657.12,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
714.16,EAudioMood::Action,1.0,0.0,40.0,,,,,
698.39,EAudioMood::Action,1.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,20.0,,,,,
605.07,EAudioMood::Action,1.0,0.0,20.0,,,,,
603.06,EAudioMood::Action,1.0,0.0,20.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,20.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,20.0,,,,,
